14777676,14777676,RI,"123 2nd Ave, NEW",123 2nd Ave,Cranston,02910,"$275,000",10-13-2021,0,NEW,,,,,"NEW, 10-13-2021, 275000",,,10-15-2021 03:04 AM,Providence,,,SalesRabbit
14777629,14777629,RI,"27 Willis St, NEW",27 Willis St,Cranston,02910,"$270,000",10-13-2021,0,NEW,,,,,"NEW, 10-13-2021, 270000",,,10-15-2021 03:04 AM,Providence,,,SalesRabbit
14767011,14767011,RI,"337 Auburn St, NEW",337 Auburn St,Cranston,02910,"$342,500",10-13-2021,0,NEW,,,,,"NEW, 10-13-2021, 342500",,,10-14-2021 03:04 AM,Providence,,,SalesRabbit
14767328,14767328,RI,"71 Imera St, NEW",71 Imera St,Providence,02909,"$290,000",10-13-2021,0,NEW,,,,,"NEW, 10-13-2021, 290000",,,10-14-2021 03:04 AM,Providence,,,SalesRabbit
14766976,14766976,RI,"25 Reed Ave, NEW",25 Reed Ave,Cranston,02910,"$345,000",10-12-2021,0,NEW,,,,,"NEW, 10-12-2021, 345000",,,10-14-2021 03:04 AM,Providence,,,SalesRabbit
14791033,14791033,RI,"27 Doylston Dr, NEW",27 Doylston Dr,Cranston,02905,"$480,000",10-12-2021,0,NEW,,,,,"NEW, 10-12-2021, 480000",,,10-16-2021 03:04 AM,Providence,,,SalesRabbit
14801856,14801856,RI,"81 Alhambra Cir, NEW",81 Alhambra Cir,Cranston,02905,"$440,000",10-12-2021,0,NEW,,,,,"NEW, 10-12-2021, 440000",,,10-17-2021 03:03 AM,Providence,,,SalesRabbit
14732490,14732490,RI,"1090 Narragansett Blvd, NEW",1090 Narragansett Blvd,Cranston,02905,"$440,000",10-08-2021,0,NEW,,,,,"NEW, 10-08-2021, 440000",,,10-09-2021 03:03 AM,Providence,,,SalesRabbit
14745682,14745682,RI,"115 Westwood Ave, NEW",115 Westwood Ave,Cranston,02905,"$329,900",10-08-2021,0,NEW,,,,,"NEW, 10-08-2021, 329900",,,10-11-2021 03:03 AM,Providence,,,SalesRabbit
14721834,14721834,RI,"147 Midwood St, NEW",147 Midwood St,Cranston,02910,"$240,000",10-06-2021,0,NEW,,,,,"NEW, 10-06-2021, 240000",,,10-08-2021 03:04 AM,Providence,,,SalesRabbit
14711422,14711422,RI,"139 California Ave, NEW",139 California Ave,Providence,02905,"$351,000",10-01-2021,0,NEW,,,,,"NEW, 10-01-2021, 351000",,,10-07-2021 03:03 AM,Providence,,,SalesRabbit
